Site,Replicate,Mining,Miningfac,Survey,Time,Colour,Soil_moisture,Rainfall_3mth,,,,,,,
GGW,10,Mined,2,3,2015.1,7,93.23333333,320.9,,,,,,,
GGW,1,Mined,2,4,2016.1,7,76.26666667,291,,,,,,,
GGW,2,Mined,2,4,2016.1,7,20.26666667,291,,,,,,,
GGW,3,Mined,2,4,2016.1,7,30.36666667,291,,,,,,,
GGW,4,Mined,2,4,2016.1,7,45.83333333,291,,,,,,,
GGW,5,Mined,2,4,2016.1,7,60.2,291,,,,,,,
GGW,6,Mined,2,4,2016.1,7,47.43333333,291,,,,,,,
GGW,7,Mined,2,4,2016.1,7,19,291,,,,,,,
GGW,8,Mined,2,4,2016.1,7,27.86666667,291,,,,,,,
GGW,9,Mined,2,4,2016.1,7,55.66666667,291,,,,,,,
GGW,10,Mined,2,4,2016.1,7,23.53333333,291,,,,,,,
GGW,1,Mined,2,5,2017.1,7,43.93333333,190.8,,,,,,,
GGW,2,Mined,2,5,2017.1,7,10.36666667,190.8,,,,,,,
GGW,3,Mined,2,5,2017.1,7,19.93333333,190.8,,,,,,,
GGW,4,Mined,2,5,2017.1,7,18.23333333,190.8,,,,,,,
GGW,5,Mined,2,5,2017.1,7,15.9,190.8,,,,,,,
GGW,6,Mined,2,5,2017.1,7,16.66666667,190.8,,,,,,,
GGW,7,Mined,2,5,2017.1,7,16.76666667,190.8,,,,,,,
GGW,8,Mined,2,5,2017.1,7,12.7,190.8,,,,,,,
GGW,9,Mined,2,5,2017.1,7,31.83333333,190.8,,,,,,,
GGW,10,Mined,2,5,2017.1,7,10.93333333,190.8,,,,,,,
GGW,1,Mined,2,6,2018.1,7,19.86666667,181.8,,,,,,,
GGW,2,Mined,2,6,2018.1,7,11.6,181.8,,,,,,,
GGW,3,Mined,2,6,2018.1,7,35.36666667,181.8,,,,,,,
GGW,4,Mined,2,6,2018.1,7,23.66666667,181.8,,,,,,,
GGW,5,Mined,2,6,2018.1,7,8.2,181.8,,,,,,,
GGW,6,Mined,2,6,2018.1,7,21.03333333,181.8,,,,,,,
GGW,7,Mined,2,6,2018.1,7,22.13333333,181.8,,,,,,,
GGW,8,Mined,2,6,2018.1,7,23.56666667,181.8,,,,,,,
GGW,9,Mined,2,6,2018.1,7,33.03333333,181.8,,,,,,,
GGW,10,Mined,2,6,2018.1,7,19.23333333,181.8,,,,,,,
GGW,1,Mined,2,7,2019.1,7,29.73333333,369.2,,,,,,,
GGW,2,Mined,2,7,2019.1,7,17.8,369.2,,,,,,,
GGW,3,Mined,2,7,2019.1,7,37.63333333,369.2,,,,,,,
GGW,4,Mined,2,7,2019.1,7,32.43333333,369.2,,,,,,,
GGW,5,Mined,2,7,2019.1,7,25.36666667,369.2,,,,,,,
GGW,6,Mined,2,7,2019.1,7,30.8,369.2,,,,,,,
GGW,7,Mined,2,7,2019.1,7,23.76666667,369.2,,,,,,,
GGW,8,Mined,2,7,2019.1,7,34.06666667,369.2,,,,,,,
GGW,9,Mined,2,7,2019.1,7,34.3,369.2,,,,,,,
GGW,10,Mined,2,7,2019.1,7,30.63333333,369.2,,,,,,,
GGW,1,Mined,2,8,2020,7,10.26666667,92,,,,,,,
GGW,2,Mined,2,8,2020,7,6.066666667,92,,,,,,,
GGW,3,Mined,2,8,2020,7,23.86666667,92,,,,,,,
GGW,4,Mined,2,8,2020,7,17.16666667,92,,,,,,,
GGW,5,Mined,2,8,2020,7,9.9,92,,,,,,,
GGW,6,Mined,2,8,2020,7,7.966666667,92,,,,,,,
GGW,7,Mined,2,8,2020,7,10.36666667,92,,,,,,,
GGW,8,Mined,2,8,2020,7,2.833333333,92,,,,,,,
GGW,9,Mined,2,8,2020,7,18.86666667,92,,,,,,,
GGW,10,Mined,2,8,2020,7,5.6,92,,,,,,,
GGW,1,Mined,2,9,2021.1,7,24.47,246.5,,,,,,,
GGW,2,Mined,2,9,2021.1,7,18.93,246.5,,,,,,,
GGW,3,Mined,2,9,2021.1,7,23.23,246.5,,,,,,,
GGW,4,Mined,2,9,2021.1,7,25.9,246.5,,,,,,,
GGW,5,Mined,2,9,2021.1,7,12.3,246.5,,,,,,,
GGW,6,Mined,2,9,2021.1,7,0,246.5,,,,,,,
GGW,7,Mined,2,9,2021.1,7,23.03,246.5,,,,,,,
GGW,8,Mined,2,9,2021.1,7,10.4,246.5,,,,,,,
GGW,9,Mined,2,9,2021.1,7,6.13,246.5,,,,,,,
GGW,10,Mined,2,9,2021.1,7,15.13,246.5,,,,,,,
GGW,1,Mined,2,10,2022.2,7,15.73333333,560.1,,,,,,,
GGW,2,Mined,2,10,2022.2,7,17.46666667,560.1,,,,,,,
GGW,3,Mined,2,10,2022.2,7,39.23333333,560.1,,,,,,,
GGW,4,Mined,2,10,2022.2,7,37.36666667,560.1,,,,,,,
GGW,5,Mined,2,10,2022.2,7,18.26666667,560.1,,,,,,,
GGW,6,Mined,2,10,2022.2,7,15.13333333,560.1,,,,,,,
GGW,7,Mined,2,10,2022.2,7,24.96666667,560.1,,,,,,,
GGW,8,Mined,2,10,2022.2,7,24.06666667,560.1,,,,,,,
GGW,9,Mined,2,10,2022.2,7,16.93333333,560.1,,,,,,,
GGW,10,Mined,2,10,2022.2,7,8.866666667,560.1,,,,,,,
HV,1,Unmined reference,1,3,2015.1,3,91.16666667,320.9,,,,,,,
HV,2,Unmined reference,1,3,2015.1,3,92.83333333,320.9,,,,,,,
HV,3,Unmined reference,1,3,2015.1,3,92.9,320.9,,,,,,,
HV,4,Unmined reference,1,3,2015.1,3,94.86666667,320.9,,,,,,,
HV,5,Unmined reference,1,3,2015.1,3,94.26666667,320.9,,,,,,,
HV,6,Unmined reference,1,3,2015.1,3,92,320.9,,,,,,,
HV,7,Unmined reference,1,3,2015.1,3,93.03333333,320.9,,,,,,,
HV,8,Unmined reference,1,3,2015.1,3,92.7,320.9,,,,,,,
HV,9,Unmined reference,1,3,2015.1,3,93.13333333,320.9,,,,,,,
HV,10,Unmined reference,1,3,2015.1,3,88.03333333,320.9,,,,,,,
HV,1,Unmined reference,1,5,2017.1,3,74.43333333,190.8,,,,,,,
HV,2,Unmined reference,1,5,2017.1,3,77.36666667,190.8,,,,,,,
HV,3,Unmined reference,1,5,2017.1,3,87.73333333,190.8,,,,,,,
HV,4,Unmined reference,1,5,2017.1,3,63.16666667,190.8,,,,,,,
HV,5,Unmined reference,1,5,2017.1,3,56.93333333,190.8,,,,,,,
HV,6,Unmined reference,1,5,2017.1,3,72.66666667,190.8,,,,,,,
HV,7,Unmined reference,1,5,2017.1,3,89.06666667,190.8,,,,,,,
HV,8,Unmined reference,1,5,2017.1,3,90.36666667,190.8,,,,,,,
HV,9,Unmined reference,1,5,2017.1,3,92.16666667,190.8,,,,,,,
HV,10,Unmined reference,1,5,2017.1,3,51.03333333,190.8,,,,,,,
HV,1,Unmined reference,1,6,2018.1,3,90.8,181.8,,,,,,,
HV,2,Unmined reference,1,6,2018.1,3,92,181.8,,,,,,,
HV,3,Unmined reference,1,6,2018.1,3,93.4,181.8,,,,,,,
HV,4,Unmined reference,1,6,2018.1,3,92.8,181.8,,,,,,,
HV,5,Unmined reference,1,6,2018.1,3,94.5,181.8,,,,,,,
HV,6,Unmined reference,1,6,2018.1,3,93,181.8,,,,,,,
HV,7,Unmined reference,1,6,2018.1,3,92.3,181.8,,,,,,,
HV,8,Unmined reference,1,6,2018.1,3,92.4,181.8,,,,,,,
HV,9,Unmined reference,1,6,2018.1,3,92.2,181.8,,,,,,,
HV,10,Unmined reference,1,6,2018.1,3,91,181.8,,,,,,,
HV,1,Unmined reference,1,7,2019.1,3,93.03333333,369.2,,,,,,,
HV,2,Unmined reference,1,7,2019.1,3,98.13333333,369.2,,,,,,,
HV,3,Unmined reference,1,7,2019.1,3,99.56666667,369.2,,,,,,,
HV,4,Unmined reference,1,7,2019.1,3,90.4,369.2,,,,,,,
HV,5,Unmined reference,1,7,2019.1,3,99.33333333,369.2,,,,,,,
HV,6,Unmined reference,1,7,2019.1,3,93.56666667,369.2,,,,,,,
HV,7,Unmined reference,1,7,2019.1,3,100,369.2,,,,,,,
HV,8,Unmined reference,1,7,2019.1,3,100,369.2,,,,,,,
HV,9,Unmined reference,1,7,2019.1,3,99.56666667,369.2,,,,,,,
HV,10,Unmined reference,1,7,2019.1,3,99.26666667,369.2,,,,,,,
HV,1,Unmined reference,1,8,2020,3,91.26666667,92,,,,,,,
HV,2,Unmined reference,1,8,2020,3,94,92,,,,,,,
HV,3,Unmined reference,1,8,2020,3,91.36666667,92,,,,,,,
HV,4,Unmined reference,1,8,2020,3,93.73333333,92,,,,,,,
HV,5,Unmined reference,1,8,2020,3,88.26666667,92,,,,,,,
HV,6,Unmined reference,1,8,2020,3,94.1,92,,,,,,,
HV,7,Unmined reference,1,8,2020,3,91.83333333,92,,,,,,,
HV,8,Unmined reference,1,8,2020,3,92.6,92,,,,,,,
HV,9,Unmined reference,1,8,2020,3,91.7,92,,,,,,,
HV,10,Unmined reference,1,8,2020,3,90.93333333,92,,,,,,,
HV,1,Unmined reference,1,9,2021.1,3,91.97,246.5,,,,,,,
HV,2,Unmined reference,1,9,2021.1,3,93.03,246.5,,,,,,,
HV,3,Unmined reference,1,9,2021.1,3,92.93,246.5,,,,,,,
HV,4,Unmined reference,1,9,2021.1,3,92.3,246.5,,,,,,,
HV,5,Unmined reference,1,9,2021.1,3,90.7,246.5,,,,,,,
HV,6,Unmined reference,1,9,2021.1,3,89.3,246.5,,,,,,,
HV,7,Unmined reference,1,9,2021.1,3,91.6,246.5,,,,,,,
HV,8,Unmined reference,1,9,2021.1,3,91,246.5,,,,,,,
HV,9,Unmined reference,1,9,2021.1,3,92.13,246.5,,,,,,,
HV,10,Unmined reference,1,9,2021.1,3,61.77,246.5,,,,,,,
HV,1,Unmined reference,1,10,2022.2,3,95.23333333,560.1,,,,,,,
HV,2,Unmined reference,1,10,2022.2,3,87.06666667,560.1,,,,,,,
HV,3,Unmined reference,1,10,2022.2,3,93.36666667,560.1,,,,,,,
HV,4,Unmined reference,1,10,2022.2,3,95.56666667,560.1,,,,,,,
HV,5,Unmined reference,1,10,2022.2,3,93.23333333,560.1,,,,,,,
HV,6,Unmined reference,1,10,2022.2,3,90.16666667,560.1,,,,,,,
HV,7,Unmined reference,1,10,2022.2,3,86.86666667,560.1,,,,,,,
HV,8,Unmined reference,1,10,2022.2,3,95.46666667,560.1,,,,,,,
HV,9,Unmined reference,1,10,2022.2,3,92.86666667,560.1,,,,,,,
HV,10,Unmined reference,1,10,2022.2,3,96.2,560.1,,,,,,,
SS,1,Unmined reference,1,3,2015.1,3,95.26666667,320.9,,,,,,,
SS,2,Unmined reference,1,3,2015.1,3,94.7,320.9,,,,,,,
SS,3,Unmined reference,1,3,2015.1,3,92.66666667,320.9,,,,,,,
SS,4,Unmined reference,1,3,2015.1,3,94.46666667,320.9,,,,,,,
SS,5,Unmined reference,1,3,2015.1,3,96.8,320.9,,,,,,,
SS,6,Unmined reference,1,3,2015.1,3,92.5,320.9,,,,,,,
SS,7,Unmined reference,1,3,2015.1,3,95.13333333,320.9,,,,,,,
SS,8,Unmined reference,1,3,2015.1,3,84.26666667,320.9,,,,,,,
SS,9,Unmined reference,1,3,2015.1,3,94.4,320.9,,,,,,,
SS,10,Unmined reference,1,3,2015.1,3,93.06666667,320.9,,,,,,,
SS,1,Unmined reference,1,5,2017.1,3,93.63333333,190.8,,,,,,,
SS,2,Unmined reference,1,5,2017.1,3,90.73333333,190.8,,,,,,,
SS,3,Unmined reference,1,5,2017.1,3,91.46666667,190.8,,,,,,,
SS,4,Unmined reference,1,5,2017.1,3,92.26666667,190.8,,,,,,,
SS,5,Unmined reference,1,5,2017.1,3,91.76666667,190.8,,,,,,,
SS,6,Unmined reference,1,5,2017.1,3,88.5,190.8,,,,,,,
SS,7,Unmined reference,1,5,2017.1,3,89.86666667,190.8,,,,,,,
SS,8,Unmined reference,1,5,2017.1,3,89.26666667,190.8,,,,,,,
SS,9,Unmined reference,1,5,2017.1,3,93.7,190.8,,,,,,,
SS,10,Unmined reference,1,5,2017.1,3,83.86666667,190.8,,,,,,,
SS,1,Unmined reference,1,6,2018.1,3,90.13333333,181.8,,,,,,,
SS,2,Unmined reference,1,6,2018.1,3,91.5,181.8,,,,,,,
SS,3,Unmined reference,1,6,2018.1,3,76.66666667,181.8,,,,,,,
SS,4,Unmined reference,1,6,2018.1,3,85.43333333,181.8,,,,,,,
SS,5,Unmined reference,1,6,2018.1,3,87.83333333,181.8,,,,,,,
SS,6,Unmined reference,1,6,2018.1,3,89.7,181.8,,,,,,,
SS,7,Unmined reference,1,6,2018.1,3,90.86666667,181.8,,,,,,,
SS,8,Unmined reference,1,6,2018.1,3,91.56666667,181.8,,,,,,,
SS,9,Unmined reference,1,6,2018.1,3,93.66666667,181.8,,,,,,,
SS,10,Unmined reference,1,6,2018.1,3,78,181.8,,,,,,,
SS,1,Unmined reference,1,7,2019.1,3,92.56666667,369.2,,,,,,,
SS,2,Unmined reference,1,7,2019.1,3,92.56666667,369.2,,,,,,,
SS,3,Unmined reference,1,7,2019.1,3,91.66666667,369.2,,,,,,,
SS,4,Unmined reference,1,7,2019.1,3,91.1,369.2,,,,,,,
SS,5,Unmined reference,1,7,2019.1,3,92.5,369.2,,,,,,,
SS,6,Unmined reference,1,7,2019.1,3,97.16666667,369.2,,,,,,,
SS,7,Unmined reference,1,7,2019.1,3,81.6,369.2,,,,,,,
SS,8,Unmined reference,1,7,2019.1,3,91.93333333,369.2,,,,,,,
SS,9,Unmined reference,1,7,2019.1,3,93.13333333,369.2,,,,,,,
SS,10,Unmined reference,1,7,2019.1,3,91.86666667,369.2,,,,,,,
SS,1,Unmined reference,1,8,2020,3,92.26666667,92,,,,,,,
SS,2,Unmined reference,1,8,2020,3,92.7,92,,,,,,,
SS,3,Unmined reference,1,8,2020,3,92.53333333,92,,,,,,,
SS,4,Unmined reference,1,8,2020,3,93.83333333,92,,,,,,,
SS,5,Unmined reference,1,8,2020,3,93.66666667,92,,,,,,,
SS,6,Unmined reference,1,8,2020,3,66.3,92,,,,,,,
SS,7,Unmined reference,1,8,2020,3,90.8,92,,,,,,,
SS,8,Unmined reference,1,8,2020,3,75.33333333,92,,,,,,,
SS,9,Unmined reference,1,8,2020,3,87.83333333,92,,,,,,,
SS,10,Unmined reference,1,8,2020,3,92.76666667,92,,,,,,,
SS,1,Unmined reference,1,9,2021.1,3,92.23,246.5,,,,,,,
SS,2,Unmined reference,1,9,2021.1,3,94.4,246.5,,,,,,,
SS,3,Unmined reference,1,9,2021.1,3,92.33,246.5,,,,,,,
SS,4,Unmined reference,1,9,2021.1,3,94.17,246.5,,,,,,,
SS,5,Unmined reference,1,9,2021.1,3,92.53,246.5,,,,,,,
SS,6,Unmined reference,1,9,2021.1,3,32.5,246.5,,,,,,,
SS,7,Unmined reference,1,9,2021.1,3,92.33,246.5,,,,,,,
SS,8,Unmined reference,1,9,2021.1,3,76.93,246.5,,,,,,,
SS,9,Unmined reference,1,9,2021.1,3,91.33,246.5,,,,,,,
SS,10,Unmined reference,1,9,2021.1,3,92.17,246.5,,,,,,,
SS,1,Unmined reference,1,10,2022.2,3,86.5,560.1,,,,,,,
SS,2,Unmined reference,1,10,2022.2,3,90.33333333,560.1,,,,,,,
SS,3,Unmined reference,1,10,2022.2,3,91.26666667,560.1,,,,,,,
SS,4,Unmined reference,1,10,2022.2,3,91.7,560.1,,,,,,,
SS,5,Unmined reference,1,10,2022.2,3,91.56666667,560.1,,,,,,,
SS,6,Unmined reference,1,10,2022.2,3,92,560.1,,,,,,,
SS,7,Unmined reference,1,10,2022.2,3,95.43333333,560.1,,,,,,,
SS,8,Unmined reference,1,10,2022.2,3,93.13333333,560.1,,,,,,,
SS,9,Unmined reference,1,10,2022.2,3,91.83333333,560.1,,,,,,,
SS,10,Unmined reference,1,10,2022.2,3,79.9,560.1,,,,,,,
